id,ceiling_height,metro_minutes,metro_walking,total_area,living_area,kitchen_area,price,utilities_amount,utilities_included,prepayment_months,is_long_rental_term,ceiling_height_known,rooms_count,types_room,floor,house_floor,house_type,parking,renovation,count_loggia,count_balcony,view_of_courtyard,view_of_street,combined_bathroom_count,separate_bathroom_count,is_child,is_pet,room_furniture,kitchen_furniture,bath,shower_cabin,washing_machine,air_conditioner,dishwasher,tv,fridge,internet,telephone,count_passenger_lift,count_freight_lift,is_garbage_chute,living_area_known,kitchen_area_known
274140104,3.2,5,1,204.0,109.0,23.0,500000.0,0.0,1,1.0,1,1,5.0,", Оба варианта",2,14,9.0,0.0,,,,1.0,0.0,4.0,0.0,1,1,0,0,1,1.0,1,1.0,1.0,0.0,0,1,0,1.0,1.0,0.0,1,1
271258034,2.64,9,1,180.0,103.0,18.0,500000.0,0.0,1,1.0,1,0,5.0,,7,8,,,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1,0,1,1,0,1.0,1,1.0,1.0,1.0,1,1,0,1.0,0.0,,1,1
274199925,2.64,8,1,100.0,50.0,10.0,115000.0,0.0,1,1.0,1,0,3.0,,2,3,,,,,,1.0,0.0,0.0,0.0,1,0,1,1,0,0.0,1,0.0,0.0,0.0,1,0,1,0.0,0.0,,1,1
274223065,2.64,8,1,60.0,31.0,9.0,120000.0,0.0,1,1.0,1,0,2.0,,3,6,,,3.0,,,0.0,1.0,1.0,0.0,0,0,1,1,0,1.0,1,1.0,1.0,1.0,1,1,0,1.0,0.0,,1,1
271264562,3.2,5,1,170.0,104.0,21.0,175000.0,0.0,1,1.0,1,1,5.0,,5,5,7.0,0.0,2.0,,,1.0,1.0,2.0,0.0,1,1,0,1,0,1.0,1,1.0,1.0,1.0,1,1,0,1.0,0.0,0.0,1,1
272632345,3.0,6,1,98.0,8.0,10.0,185000.0,0.0,1,1.0,1,1,3.0,,6,6,5.0,,,,,,,0.0,1.0,0,0,0,0,1,1.0,0,0.0,0.0,0.0,0,1,0,1.0,0.0,1.0,1,0
274018110,3.1,5,1,175.0,16.0,12.0,200000.0,0.0,1,1.0,1,1,2.0,,3,9,8.0,4.0,,,,,,0.0,2.0,0,0,0,0,1,1.0,0,0.0,0.0,0.0,0,1,0,1.0,1.0,0.0,1,0
274029603,2.64,5,1,180.0,112.0,12.0,350000.0,0.0,1,1.0,1,0,4.0,", Оба варианта",3,4,5.0,,2.0,,,1.0,1.0,3.0,0.0,1,0,1,1,1,1.0,1,1.0,1.0,1.0,1,1,0,1.0,0.0,0.0,1,1
274548856,2.64,6,1,132.0,82.0,17.0,350000.0,0.0,1,1.0,1,0,4.0,,12,13,8.0,4.0,3.0,,,1.0,0.0,2.0,0.0,1,1,1,1,0,0.0,1,0.0,0.0,1.0,1,0,0,2.0,2.0,0.0,1,1
271766412,2.64,4,1,228.0,98.5,15.0,400000.0,0.0,1,1.0,1,0,6.0,,3,6,,,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0,0,0,1,0,1.0,1,0.0,1.0,1.0,1,1,0,1.0,0.0,,1,1
269165004,2.64,2,1,92.3,10.8,14.0,470000.0,0.0,1,1.0,1,1,3.0,,3,7,8.0,3.0,,,,,,0.0,2.0,0,0,1,1,1,1.0,1,0.0,1.0,1.0,1,1,0,1.0,1.0,0.0,1,0
274105576,3.2,5,1,204.0,103.0,18.0,500000.0,0.0,1,1.0,1,1,5.0,", Оба варианта",2,13,,4.0,2.0,0.0,1.0,1.0,1.0,4.0,0.0,1,1,1,1,1,1.0,1,1.0,1.0,1.0,1,1,1,1.0,0.0,,1,1
274528249,2.64,3,1,45.0,38.0,7.0,120000.0,0.0,1,1.0,1,0,1.0,,6,7,5.0,0.0,3.0,0.0,1.0,,,1.0,0.0,0,0,1,1,0,1.0,1,1.0,1.0,1.0,1,1,1,1.0,0.0,1.0,1,0
274431438,3.2,3,1,65.0,50.0,10.0,130000.0,0.0,1,1.0,1,1,3.0,", Оба варианта",7,7,,0.0,2.0,,,1.0,1.0,1.0,0.0,1,1,1,1,1,1.0,1,1.0,1.0,1.0,1,1,1,1.0,0.0,,1,1
274064272,2.64,5,1,87.0,68.0,7.0,140000.0,0.0,1,1.0,1,0,3.0,", Изолированная",4,7,5.0,,2.0,,,1.0,1.0,0.0,1.0,0,0,1,1,1,0.0,1,1.0,1.0,0.0,1,1,0,1.0,0.0,1.0,1,1
273078340,3.0,6,1,90.0,70.0,10.0,145000.0,0.0,1,1.0,1,1,3.0,,7,12,5.0,,3.0,0.0,1.0,1.0,1.0,1.0,0.0,1,1,1,1,1,0.0,1,1.0,1.0,1.0,1,1,0,2.0,0.0,1.0,1,1
274359655,2.64,7,1,180.0,77.0,15.0,350000.0,0.0,1,1.0,1,0,4.0,", Изолированная",3,4,5.0,4.0,2.0,,,,,0.0,3.0,0,0,0,1,0,0.0,1,0.0,1.0,1.0,1,1,0,1.0,0.0,0.0,0,0
272226556,2.64,10,1,180.0,81.0,15.0,400000.0,0.0,1,1.0,1,0,4.0,,2,3,,,3.0,0.0,1.0,,,1.0,0.0,1,0,1,1,1,1.0,1,1.0,1.0,1.0,1,0,0,0.0,0.0,,0,0
274319903,2.64,3,1,75.0,47.0,12.0,99000.0,0.0,1,1.0,1,0,3.0,", Изолированная",9,10,5.0,1.0,1.0,,,1.0,0.0,0.0,1.0,1,1,1,1,0,0.0,1,0.0,0.0,1.0,1,1,0,1.0,1.0,1.0,1,1
273427928,2.64,11,1,87.0,54.0,10.0,100000.0,0.0,1,1.0,1,0,3.0,,3,7,5.0,,3.0,,,0.0,1.0,1.0,0.0,1,0,1,1,0,0.0,1,0.0,0.0,1.0,0,0,0,1.0,0.0,1.0,1,1
274296188,3.0,8,1,105.0,51.0,12.0,180000.0,0.0,1,1.0,1,1,3.0,,9,9,5.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1,0,1,1,1,0.0,1,1.0,1.0,1.0,1,1,0,1.0,0.0,1.0,1,1
272887177,3.2,5,1,99.0,68.0,12.0,200000.0,0.0,1,1.0,1,1,3.0,", Оба варианта",3,9,5.0,4.0,,1.0,0.0,1.0,0.0,2.0,0.0,1,0,1,0,1,1.0,1,1.0,1.0,0.0,0,1,0,1.0,1.0,1.0,1,1
269319175,3.5,7,1,60.0,33.0,10.0,250000.0,0.0,1,1.0,1,1,1.0,,2,11,9.0,4.0,,,,1.0,0.0,1.0,0.0,1,0,1,0,1,0.0,1,1.0,0.0,0.0,0,1,0,2.0,0.0,0.0,1,1
269687656,2.64,6,1,140.0,81.0,15.0,280000.0,0.0,1,1.0,1,0,4.0,,4,6,,,2.0,,,1.0,0.0,2.0,0.0,0,0,1,1,0,1.0,1,1.0,1.0,1.0,1,1,0,1.0,0.0,,1,1
